,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
2008,NFL,Cleveland Browns,4,12,0,4th of 4,,232,350,-118,Crennel,Rogers,Anderson,Lewis,Edwards,30,31,16,26,8,27,31,32,-7.4,2.7,-4.6,-5.2,0.6
2007,NFL,Cleveland Browns,10,6,0,2nd of 4,,402,382,20,Crennel,Anderson,Anderson,Lewis,Edwards,8,8,21,30,19,14,20,32,1.3,-2.3,-1.1,2.2,-3.3
2006,NFL,Cleveland Browns,4,12,0,4th of 4,,238,356,-118,Crennel,Wimbley,Frye,Droughns,Edwards,30,31,22,27,31,30,32,32,-7.4,1.5,-5.8,-4.5,-1.3
2005,NFL,Cleveland Browns,6,10,0,4th of 4,,232,301,-69,Crennel,Droughns,Dilfer,Droughns,Bryant,32,26,11,16,23,22,26,32,-4.3,0.1,-4.2,-6.0,1.7
2004,NFL,Cleveland Browns,4,12,0,4th of 4,,276,390,-114,DavisRobiskie,Lang,Garcia,Suggs,Northcutt,27,28,24,15,26,30,28,32,-7.1,3.7,-3.4,-1.5,-1.9
2003,NFL,Cleveland Browns,5,11,0,4th of 4,,254,322,-68,Davis,Lang,Holcomb,Green,Northcutt,29,26,12,15,28,24,25,32,-4.3,1.3,-2.9,-5.3,2.4
2002,NFL,Cleveland Browns*,9,7,0,2nd of 4,Lost WC,344,320,24,Davis,Verba,Couch,Green,Morgan,19,23,10,21,18,15,21,32,1.5,-0.3,1.2,-0.4,1.7
2001,NFL,Cleveland Browns,7,9,0,3rd of 6,,285,319,-34,Davis,Miller,Couch,Jackson,Johnson,25,31,15,22,7,19,30,31,-2.1,1.3,-0.8,-0.9,0.1
2000,NFL,Cleveland Browns,3,13,0,6th of 6,,161,419,-258,Palmer,Brown,Couch,Prentice,Johnson,31,31,27,26,19,31,31,31,-16.1,1.5,-14.6,-9.1,-5.5
1999,NFL,Cleveland Browns,2,14,0,6th of 6,,217,437,-220,Palmer,Couch,Couch,Kirby,Johnson,31,31,29,31,28,31,31,31,-13.8,-0.3,-14.1,-7.6,-6.5
1995,NFL,Cleveland Browns,5,11,0,4th of 5,,289,356,-67,Belichick,Testaverde,Testaverde,Hoard,Jackson,25,21,20,24,25,24,24,30,-4.2,0.4,-3.8,-3.2,-0.6
1994,NFL,Cleveland Browns*,11,5,0,2nd of 4,Lost Div,340,204,136,Belichick,Turner,Testaverde,Hoard,Alexander,11,16,1,7,20,3,13,28,8.5,-1.2,7.3,1.2,6.1
1993,NFL,Cleveland Browns,7,9,0,3rd of 4,,304,307,-3,Belichick,Metcalf,Testaverde,Vardell,Jackson,15,20,17,12,25,16,17,28,-0.2,-1.0,-1.2,-0.6,-0.6
1992,NFL,Cleveland Browns,7,9,0,3rd of 4,,272,275,-3,Belichick,Newsome,Tomczak,Mack,Jackson,20,18,10,14,10,13,15,28,-0.2,-0.8,-1.0,-2.0,1.0
1991,NFL,Cleveland Browns,6,10,0,3rd of 4,,293,298,-5,Belichick,Kosar,Kosar,Mack,Slaughter,16,19,14,18,3,16,19,28,-0.3,0.0,-0.4,-0.7,0.4
