,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
2005,NFL,Buffalo Bills,5,11,0,3rd of 4,,271,367,-96,Mularkey,McGee,Holcomb,McGahee,Moulds,24,28,24,29,13,27,30,32,-6.0,0.2,-5.8,-4.0,-1.8
2004,NFL,Buffalo Bills,9,7,0,3rd of 4,,395,284,111,Mularkey,Spikes,Bledsoe,McGahee,Moulds,7,25,8,2,7,6,10,32,6.9,1.1,8.1,4.6,3.5
2003,NFL,Buffalo Bills,6,10,0,3rd of 4,,243,279,-36,Williams,Spikes,Bledsoe,Henry,Moulds,30,30,5,2,31,20,17,32,-2.3,1.3,-1.0,-5.0,4.0
2002,NFL,Buffalo Bills,8,8,0,4th of 4,,379,397,-18,Williams,Bledsoe,Bledsoe,Henry,Moulds,11,11,27,15,28,20,13,32,-1.1,0.9,-0.3,2.1,-2.3
2001,NFL,Buffalo Bills,3,13,0,5th of 5,,265,420,-155,Williams,Brown,Van Pelt,Henry,Moulds,27,13,29,21,29,30,17,31,-9.7,0.2,-9.5,-3.9,-5.7
2000,NFL,Buffalo Bills,8,8,0,4th of 5,,315,350,-35,Phillips,Washington,Johnson,Bryson,Moulds,20,9,18,3,10,22,3,31,-2.2,2.2,0.0,0.5,-0.5
1999,NFL,Buffalo Bills*,11,5,0,2nd of 5,Lost WC,320,229,91,Phillips,Flutie,Flutie,Linton,Moulds,16,11,2,1,23,3,2,31,5.7,1.5,7.1,-0.2,7.4
1998,NFL,Buffalo Bills*,10,6,0,3rd of 5,Lost WC,400,333,67,Phillips,Moulds,Flutie,Smith,Moulds,7,6,15,6,3,8,6,30,4.2,1.0,5.2,4.4,0.7
1997,NFL,Buffalo Bills,6,10,0,4th of 5,,255,367,-112,Levy,Smith,Collins,Smith,Reed,29,25,23,9,28,28,16,30,-7.0,2.5,-4.5,-4.0,-0.5
1996,NFL,Buffalo Bills*,10,6,0,2nd of 5,Lost WC,319,266,53,Levy,Smith,Kelly,Thomas,Reed,15,16,6,9,25,7,9,30,3.3,-0.4,2.9,-1.0,3.9
1995,NFL,Buffalo Bills*,10,6,0,1st of 5,Lost Div,350,335,15,Levy,Smith,Kelly,Thomas,Brooks,13,20,12,13,11,13,16,30,0.9,-1.8,-0.9,-0.5,-0.4
1994,NFL,Buffalo Bills,7,9,0,4th of 5,,340,356,-16,Levy,Reed,Kelly,Thomas,Reed,11,10,22,17,24,14,12,28,-1.0,0.8,-0.2,1.5,-1.8
1993,NFL,Buffalo Bills*,12,4,0,1st of 5,Lost SB,329,242,87,Levy,Smith,Kelly,Thomas,Reed,7,6,5,27,2,5,20,28,5.4,-0.6,4.8,1.8,3.0
1992,NFL,Buffalo Bills*,11,5,0,2nd of 5,Lost SB,381,283,98,Levy,Thomas,Kelly,Thomas,Reed,3,2,14,12,18,6,4,28,6.1,-1.9,4.3,4.7,-0.4
1991,NFL,Buffalo Bills*,13,3,0,1st of 5,Lost SB,458,318,140,Levy,Thomas,Kelly,Thomas,Reed,2,1,19,27,9,3,5,28,8.8,-5.2,3.6,7.6,-4.1
